<c>,PC,PD,F
0.9975,3990.0,10.0,0.0
1.0,4000.0,0.0,0.0
0.95675,2599.0,0.0,1401.0
0.922,2374.0,1.0,1625.0
0.8985,1556.0,1.0,2443.0
0.93775,2663.0,0.0,1337.0
0.82025,1163.0,1.0,2836.0
0.89975,1126.0,1.0,2873.0
0.568,148.0,4.0,3848.0
0.563,121.0,4.0,3875.0
0.4565,127.0,3.0,3870.0
0.4275,124.0,3.0,3873.0
0.3505,70.0,16.0,3914.0
0.38525,98.0,17.0,3885.0
0.316,102.0,6.0,3892.0
0.37275,119.0,31.0,3850.0
0.33825,67.0,23.0,3910.0
0.23175,42.0,129.0,3829.0
0.2845,51.0,59.0,3890.0
0.24375,52.0,42.0,3906.0
0.1005,22.0,395.0,3583.0
0.195,62.0,233.0,3705.0
0.1625,45.0,429.0,3526.0
0.1345,27.0,509.0,3464.0
0.148,44.0,570.0,3386.0
0.10725,19.0,1005.0,2976.0
0.106,14.0,1160.0,2826.0
0.1145,22.0,954.0,3024.0
0.102,14.0,1106.0,2880.0
0.08225,14.0,901.0,3085.0
0.06725,16.0,1431.0,2553.0
0.07075,13.0,2035.0,1952.0
0.09025,20.0,1668.0,2312.0
0.0975,28.0,1741.0,2231.0
0.084,6.0,1443.0,2551.0
0.07025,10.0,2566.0,1424.0
0.0785,21.0,2060.0,1919.0
0.05925,8.0,2438.0,1554.0
0.09825,20.0,1671.0,2309.0
0.076,6.0,2514.0,1480.0
0.07325,16.0,2393.0,1591.0
0.05525,13.0,2645.0,1342.0
0.0815,17.0,2271.0,1712.0
0.0555,9.0,2226.0,1765.0
0.0455,6.0,2545.0,1449.0
0.049,9.0,2830.0,1161.0
0.06875,19.0,2353.0,1628.0
0.05175,5.0,2751.0,1244.0
